People: 孙少平; 顾养民; 金波; 秀 </s> 他常常感到别人在嘲笑他的寒酸，因此对一切家境好的同学内心中有一种变态的对立情绪。 </s> 就说现在吧，他对那个派头十足的班长顾养民，已经产生了一种强烈的反感情绪。 </s> 每当他看见他站在讲台上，穿戴得时髦笔挺，一边优雅地点名，一边扬起手腕看表的神态时，一种无名的怒火就在胸膛里燃烧起来，压也压不住。 </s> 点名的时候，点到谁，谁就答个到。 </s> 有一次点到他的时候，他故意没有吭声。 </s> 班长瞪了他一眼，又喊了一声他的名字，他还是没有吭声。 </s> 如果在初中，这种情况说不定立即就会引起一场暴力性的冲突。 </s> 大概因为大家刚升入高中，相互不摸情况，班长对于他这种污辱性的轻蔑，采取了克制的态度，接着去点别人的名了。 </s> 点完名散场后，他和他们村的金波一同走出教室。 </s> 这家伙喜眉笑脸地对他悄悄伸出一个大拇指，说： </s> “好！” </s> “我担心这小子要和我打架。” </s> 孙少平事后倒有点后悔他刚才的行为了。 </s> “他小子敢！” </s> 金波瞪起一双大花眼睛，拳头在空中晃了晃。 </s> 金波和他同龄，个子却比他矮一个头。 </s> 他皮肤白晰，眉目清秀，长得象个女孩子。 </s> 但这人心却生硬，做什么事手脚非常麻利。 </s> 平静时象个姑娘，动作时如同一只老虎。 </s> 金波他父亲是地区运输公司的汽车司机，家庭情况比孙少平要好一些，生活方面在班里算是属于较高层次的。 </s> 少平和这位“富翁”的关系倒特别要好。	who said "“好！”"?	18	20
People: 孙少平; 顾养民; 金波; 秀 </s> 就说现在吧，他对那个派头十足的班长顾养民，已经产生了一种强烈的反感情绪。 </s> 每当他看见他站在讲台上，穿戴得时髦笔挺，一边优雅地点名，一边扬起手腕看表的神态时，一种无名的怒火就在胸膛里燃烧起来，压也压不住。 </s> 点名的时候，点到谁，谁就答个到。 </s> 有一次点到他的时候，他故意没有吭声。 </s> 班长瞪了他一眼，又喊了一声他的名字，他还是没有吭声。 </s> 如果在初中，这种情况说不定立即就会引起一场暴力性的冲突。 </s> 大概因为大家刚升入高中，相互不摸情况，班长对于他这种污辱性的轻蔑，采取了克制的态度，接着去点别人的名了。 </s> 点完名散场后，他和他们村的金波一同走出教室。 </s> 这家伙喜眉笑脸地对他悄悄伸出一个大拇指，说： </s> “好！” </s> “我担心这小子要和我打架。” </s> 孙少平事后倒有点后悔他刚才的行为了。 </s> “他小子敢！” </s> 金波瞪起一双大花眼睛，拳头在空中晃了晃。 </s> 金波和他同龄，个子却比他矮一个头。 </s> 他皮肤白晰，眉目清秀，长得象个女孩子。 </s> 但这人心却生硬，做什么事手脚非常麻利。 </s> 平静时象个姑娘，动作时如同一只老虎。 </s> 金波他父亲是地区运输公司的汽车司机，家庭情况比孙少平要好一些，生活方面在班里算是属于较高层次的。 </s> 少平和这位“富翁”的关系倒特别要好。 </s> 他和他从小一块耍大，玩性很投合。	who said "“我担心这小子要和我打架。”"?	8	11
People: 孙少平; 金波; 秀 </s> 点名的时候，点到谁，谁就答个到。 </s> 有一次点到他的时候，他故意没有吭声。 </s> 班长瞪了他一眼，又喊了一声他的名字，他还是没有吭声。 </s> 如果在初中，这种情况说不定立即就会引起一场暴力性的冲突。 </s> 大概因为大家刚升入高中，相互不摸情况，班长对于他这种污辱性的轻蔑，采取了克制的态度，接着去点别人的名了。 </s> 点完名散场后，他和他们村的金波一同走出教室。 </s> 这家伙喜眉笑脸地对他悄悄伸出一个大拇指，说： </s> “好！” </s> “我担心这小子要和我打架。” </s> 孙少平事后倒有点后悔他刚才的行为了。 </s> “他小子敢！” </s> 金波瞪起一双大花眼睛，拳头在空中晃了晃。 </s> 金波和他同龄，个子却比他矮一个头。 </s> 他皮肤白晰，眉目清秀，长得象个女孩子。 </s> 但这人心却生硬，做什么事手脚非常麻利。 </s> 平静时象个姑娘，动作时如同一只老虎。 </s> 金波他父亲是地区运输公司的汽车司机，家庭情况比孙少平要好一些，生活方面在班里算是属于较高层次的。 </s> 少平和这位“富翁”的关系倒特别要好。 </s> 他和他从小一块耍大，玩性很投合。 </s> 以后又一直在一起上学。 </s> 在村里，金波的父亲在门外工作，他家里少不了有些力气活，也常是少平他父亲或哥哥去帮忙。	who said "“他小子敢！”"?	13	15
People: 孙少平 </s> 这种年龄的男青年，又刚刚有了一点文化，往往爱给一些“洋女生”献殷勤。 </s> 尤其是刚从农村来的男生，在他们的眼里，城里干部的女儿都好象是下凡的仙女。 </s> 当然，这般年龄的男女青年还说不上正经八板地谈恋爱，但他们无疑已经浮浅地懂得了这种事，并且正因为刚懂得，因此比那些有过经历的人具有更大的激情。 </s> 唉，谁没有经过这样的年龄呢？ </s> 在这个维特式的骚动不安的年龄里，异性之间任何微小的情感，都可能在一个少年的内心掀起狂风巨浪！ </s> 孙少平目前还没有到这样的地步。 </s> 他只是感到，在他如此潦倒的生活中，有一个姑娘用这样亲切而善意的目光在关注他，使他感到无限温暖。 </s> 她那可怜的、清瘦的脸颊，她那细长的脖项，她那刚能遮住羞丑的破烂衣衫，都在他的内心荡漾起一种春水般的波澜。 </s> 他们用眼睛这样“交谈”了一些日子后，终于有一天，她取完那两个黑面馍，迟疑地走到他跟前，小声问他： </s> “那天，老师没收了你的那本书，叫什么名字？” </s> “《红岩》。我在县文化馆借的。” </s> 他拿黑面馍的手微微抖着，回答她。 </s> 她离他这么近，他再也不敢看她了。 </s> 他很不自在地把头低下，看着自己手里的那两个黑东西。 </s> “那里面有个江姐……” </s> 她本来不紧张，但看他这样不自在，声音也有点不自然了。 </s> 他赶忙说： </s> “是。后来牺牲了……很悲壮！” </s> 他加添了一个自认为很出色的词，头仍然低着。 </s> “还有一个双枪老太婆。” </s> 她又说。	who said "“《红岩》。我在县文化馆借的。”"?	8	11
People: 少平 </s> 她那可怜的、清瘦的脸颊，她那细长的脖项，她那刚能遮住羞丑的破烂衣衫，都在他的内心荡漾起一种春水般的波澜。 </s> 他们用眼睛这样“交谈”了一些日子后，终于有一天，她取完那两个黑面馍，迟疑地走到他跟前，小声问他： </s> “那天，老师没收了你的那本书，叫什么名字？” </s> “《红岩》。我在县文化馆借的。” </s> 他拿黑面馍的手微微抖着，回答她。 </s> 她离他这么近，他再也不敢看她了。 </s> 他很不自在地把头低下，看着自己手里的那两个黑东西。 </s> “那里面有个江姐……” </s> 她本来不紧张，但看他这样不自在，声音也有点不自然了。 </s> 他赶忙说： </s> “是。后来牺牲了……很悲壮！” </s> 他加添了一个自认为很出色的词，头仍然低着。 </s> “还有一个双枪老太婆。” </s> 她又说。 </s> “你也看过这书？” </s> 他现在才敢抬起眼皮看了她一眼。 </s> “我没看过。以前听我爸说过里面的故事。” </s> “你爸？你爸看过？” </s> “嗯。” </s> “你爸在？……” </s> 少平显然有点惊讶这位穿戴破烂的女生，她父亲竟然看过《红岩》，因此弄不明白她父亲是干什么的了。	who said "“是。后来牺牲了……很悲壮！”"?	8	10
People: 少平 </s> 他拿黑面馍的手微微抖着，回答她。 </s> 她离他这么近，他再也不敢看她了。 </s> 他很不自在地把头低下，看着自己手里的那两个黑东西。 </s> “那里面有个江姐……” </s> 她本来不紧张，但看他这样不自在，声音也有点不自然了。 </s> 他赶忙说： </s> “是。后来牺牲了……很悲壮！” </s> 他加添了一个自认为很出色的词，头仍然低着。 </s> “还有一个双枪老太婆。” </s> 她又说。 </s> “你也看过这书？” </s> 他现在才敢抬起眼皮看了她一眼。 </s> “我没看过。以前听我爸说过里面的故事。” </s> “你爸？你爸看过？” </s> “嗯。” </s> “你爸在？……” </s> 少平显然有点惊讶这位穿戴破烂的女生，她父亲竟然看过《红岩》，因此弄不明白她父亲是干什么的了。 </s> “我爸是农民，成份不好，是地主，不，我爷爷是地主，所以……” </s> “那你爸上过学？” </s> “我爸没上过。 </s> 我爷上过。	who said "“你也看过这书？”"?	8	10
People: 少平 </s> “那里面有个江姐……” </s> 她本来不紧张，但看他这样不自在，声音也有点不自然了。 </s> 他赶忙说： </s> “是。后来牺牲了……很悲壮！” </s> 他加添了一个自认为很出色的词，头仍然低着。 </s> “还有一个双枪老太婆。” </s> 她又说。 </s> “你也看过这书？” </s> 他现在才敢抬起眼皮看了她一眼。 </s> “我没看过。以前听我爸说过里面的故事。” </s> “你爸？你爸看过？” </s> “嗯。” </s> “你爸在？……” </s> 少平显然有点惊讶这位穿戴破烂的女生，她父亲竟然看过《红岩》，因此弄不明白她父亲是干什么的了。 </s> “我爸是农民，成份不好，是地主，不，我爷爷是地主，所以……” </s> “那你爸上过学？” </s> “我爸没上过。 </s> 我爷上过。 </s> 我爸的字是我爷教的。 </s> 我爷早死了…… </s> 我没看过《红岩》小说，但我会唱《红岩》歌剧里的歌。	who said "“你爸？你爸看过？”"?	8	10
People: 少平 </s> 他赶忙说： </s> “是。后来牺牲了……很悲壮！” </s> 他加添了一个自认为很出色的词，头仍然低着。 </s> “还有一个双枪老太婆。” </s> 她又说。 </s> “你也看过这书？” </s> 他现在才敢抬起眼皮看了她一眼。 </s> “我没看过。以前听我爸说过里面的故事。” </s> “你爸？你爸看过？” </s> “嗯。” </s> “你爸在？……” </s> 少平显然有点惊讶这位穿戴破烂的女生，她父亲竟然看过《红岩》，因此弄不明白她父亲是干什么的了。 </s> “我爸是农民，成份不好，是地主，不，我爷爷是地主，所以……” </s> “那你爸上过学？” </s> “我爸没上过。 </s> 我爷上过。 </s> 我爸的字是我爷教的。 </s> 我爷早死了…… </s> 我没看过《红岩》小说，但我会唱《红岩》歌剧里的歌。 </s> 我的名字就是我爸从这歌词里面取的。 </s> 那歌剧里有一句歌词是：	who said "“你爸在？……”"?	8	10
People: 少平; 红梅 </s> 他加添了一个自认为很出色的词，头仍然低着。 </s> “还有一个双枪老太婆。” </s> 她又说。 </s> “你也看过这书？” </s> 他现在才敢抬起眼皮看了她一眼。 </s> “我没看过。以前听我爸说过里面的故事。” </s> “你爸？你爸看过？” </s> “嗯。” </s> “你爸在？……” </s> 少平显然有点惊讶这位穿戴破烂的女生，她父亲竟然看过《红岩》，因此弄不明白她父亲是干什么的了。 </s> “我爸是农民，成份不好，是地主，不，我爷爷是地主，所以……” </s> “那你爸上过学？” </s> “我爸没上过。 </s> 我爷上过。 </s> 我爸的字是我爷教的。 </s> 我爷早死了…… </s> 我没看过《红岩》小说，但我会唱《红岩》歌剧里的歌。 </s> 我的名字就是我爸从这歌词里面取的。 </s> 那歌剧里有一句歌词是： </s> 红岩上，红梅开…… </s> ”她这样轻声慢语地说着，他呆呆地听着。	who said "“我爸是农民，成份不好，是地主，不，我爷爷是地主，所以……”"?	12	14
People: 少平; 红梅 </s> “还有一个双枪老太婆。” </s> 她又说。 </s> “你也看过这书？” </s> 他现在才敢抬起眼皮看了她一眼。 </s> “我没看过。以前听我爸说过里面的故事。” </s> “你爸？你爸看过？” </s> “嗯。” </s> “你爸在？……” </s> 少平显然有点惊讶这位穿戴破烂的女生，她父亲竟然看过《红岩》，因此弄不明白她父亲是干什么的了。 </s> “我爸是农民，成份不好，是地主，不，我爷爷是地主，所以……” </s> “那你爸上过学？” </s> “我爸没上过。 </s> 我爷上过。 </s> 我爸的字是我爷教的。 </s> 我爷早死了…… </s> 我没看过《红岩》小说，但我会唱《红岩》歌剧里的歌。 </s> 我的名字就是我爸从这歌词里面取的。 </s> 那歌剧里有一句歌词是： </s> 红岩上，红梅开…… </s> ”她这样轻声慢语地说着，他呆呆地听着。 </s> 她突然红着脸说：	who said "“那你爸上过学？”"?	8	10
